"","Mu","Sigma"
"1526414400",0.000573144204038981,0.00982243594577307
"1526418000",-0.000121077513360124,0.00953571807057656
"1526421600",-1.51392122361136e-05,0.00908795850602326
"1526425200",0.000611083674618393,0.009599472414644
"1526428800",0.000215940287120744,0.00887317903867254
"1526432400",0.000552713431675362,0.00924892572965905
"1526436000",0.000325631374539379,0.00862450515785333
"1526439600",0.00135142318045767,0.0102029147209156
"1526443200",0.00253238635167471,0.0117428621333085
"1526446800",0.00123696653386524,0.01048265556334
"1526450400",0.000526776775139382,0.0103261859313711
"1526454000",-4.37007213335422e-05,0.00991969639975876
"1526457600",-0.0002037120318364,0.0095984598846658
"1526461200",0.00031273803279807,0.00969152013821803
"1526464800",0.000103823612852204,0.00911136649356096
"1526468400",-0.000149286840410151,0.00894037445915427
"1526472000",-0.00141934805776964,0.00944635884360125
"1526475600",-0.000885813104407014,0.00884786632457949
"1526479200",-0.000260301067325913,0.00868648285372968
"1526482800",0.00168829841113555,0.0110297216282031
"1526486400",0.000653371258708497,0.00946656826794527
"1526490000",-0.000544903684264571,0.0101130713762731
"1526493600",0.000192950609294753,0.00987361960686978
"1526497200",-0.00036354136028317,0.00968855217184654
"1526500800",2.7856757670267e-05,0.00937899449559475
"1526504400",0.000194630032733434,0.00915179586771768
"1526508000",-9.59763217895631e-05,0.00883641047014899
"1526511600",-2.73750461341848e-05,0.0084305842077514
"1526515200",0.000160551625319892,0.00829263796819969
"1526518800",-0.000603743039673872,0.00834187376426845
"1526522400",-0.000345164697663877,0.0078869658571516
"1526526000",-0.000519853653590493,0.00786407581413727
"1526529600",-0.0002337648675636,0.00743178459935347
"1526533200",0.000322355563869823,0.00772885307544202
"1526536800",0.000438174315641955,0.00749749508077213
"1526540400",8.12783089731334e-05,0.00724233923535044
"1526544000",0.000265517317581342,0.00721521511229394
"1526547600",0.000765453425973973,0.00772238227657558
"1526551200",0.000299040227008277,0.007107190301286
"1526554800",-5.90105404138118e-05,0.00707063181589572
"1526558400",-0.00024650435159757,0.00682102226869889
"1526562000",-0.000105407291794748,0.00652657695262234
"1526565600",0.000540677583869919,0.00708959469299426
"1526569200",1.32957775729027e-05,0.00661918857298124
"1526572800",-0.000108357064289827,0.00650864589205504
"1526576400",-6.27389086500532e-05,0.00618773429783842
"1526580000",0.000295289674946097,0.00637905536404895
"1526583600",0.000424067163235102,0.00629143672121831
"1526587200",0.00137260632951126,0.00779357117753613
"1526590800",0.000410805227058644,0.00684479834472362
"1526594400",0.000111322842567243,0.00685928874740596
"1526598000",0.000952548560476355,0.00783292629225518
"1526601600",0.000595343044362949,0.00715448716496799
"1526605200",0.00109212943445849,0.00823529818633
"1526608800",0.00150474536627483,0.00873456542162525
"1526612400",0.000595530197445033,0.00807166875542051
"1526616000",0.000155880004411963,0.00791704037797888
"1526619600",-3.3714365852432e-05,0.00756753671226283
"1526623200",-0.000233756564802401,0.00741487690019073
"1526626800",-0.000233019944568352,0.00713834098492498
