"","Mu","Sigma"
"1532095200",-0.000467828268315237,0.00741674794390799
"1532098800",-0.000140406465666623,0.00723425780962083
"1532102400",-0.000270276095283836,0.00703543915371233
"1532106000",-0.00021855989977994,0.00677115270440442
"1532109600",0.00066645061935792,0.00765506885328645
"1532113200",0.00176346214279689,0.00894628987833311
"1532116800",-5.17207404043111e-05,0.00819635950732125
"1532120400",4.09509455177115e-05,0.00853672726322909
"1532124000",-0.000192888151298057,0.00800665994637586
"1532127600",0.000158009309574752,0.00823248448557178
"1532131200",-9.40592498781039e-05,0.00774375795800627
"1532134800",6.83943490454566e-05,0.00781725777345943
"1532138400",0.000923329394005452,0.00868514913546246
"1532142000",0.000303434348017955,0.00783270848987401
"1532145600",-0.00034956742409249,0.00796720594253102
"1532149200",-4.68034987895718e-05,0.00774306310898256
"1532152800",-0.000586407318640746,0.00774328543530298
"1532156400",-0.000871744548804763,0.00765288947672409
"1532160000",-0.000511227445264641,0.00736213517529884
"1532163600",-9.18326684207216e-05,0.00723638166557066
"1532167200",0.000108107135869953,0.00713626894886767
"1532170800",-0.000148837259467051,0.00686776527188442
"1532174400",0.000164537631151168,0.00704423442954075
"1532178000",-6.29944651512028e-05,0.00662536700995945
"1532181600",-0.000716643678845289,0.00681552660663149
"1532185200",-0.000680006894111728,0.00654290521536661
"1532188800",-3.94082030833939e-05,0.00663399644934589
"1532192400",-0.00102250657348212,0.00682879309226849
"1532196000",-0.000233786943626225,0.0067173519451755
"1532199600",-0.000553894776548524,0.00669350991354634
"1532203200",-0.000462481496791611,0.00644937088129524
"1532206800",-0.000143723531610098,0.00631012599866035
"1532210400",5.69791312629438e-05,0.00622680610842058
"1532214000",9.76236559485738e-05,0.00611752386504124
"1532217600",-0.00025522740897145,0.00595999018211492
"1532221200",0.000453656764258918,0.0066041792529406
"1532224800",-0.000643599043745969,0.00638978446227712
"1532228400",-0.00103113889311717,0.00652543669039826
"1532232000",0.00031119146202008,0.00712046757216867
"1532235600",0.000175237072052995,0.00648483796008418
"1532239200",0.000287252388581067,0.00687976932779787
"1532242800",-0.000164427653961889,0.00643120984109526
"1532246400",8.43463415507836e-08,0.00651816857040394
"1532250000",-8.96175821255774e-05,0.00614633487231368
"1532253600",-0.000758701782015796,0.00637244986780955
"1532257200",-0.000262834146747954,0.0060804372287955
"1532260800",-0.0004765079413528,0.00610583738241429
"1532264400",-0.000110788328338149,0.00594692766004352
"1532268000",-6.46481276046283e-05,0.00572052760556341
"1532271600",-0.00052592830017751,0.00577154438948655
"1532275200",-0.000747038429448256,0.00570480914977059
"1532278800",-0.000871516586149541,0.00574972893147559
"1532282400",3.72717758672753e-05,0.0059442425866061
"1532286000",4.50628069287948e-05,0.00556584701704742
"1532289600",-0.000347872627674716,0.00560147151255238
"1532293200",-0.00039274745618773,0.00537863606362718
"1532296800",-0.000344331457460766,0.00527445978584619
"1532300400",0.00191222653056991,0.00854846287058151
"1532304000",0.000644009890368613,0.00646778976817462
"1532307600",0.000261594875026739,0.00741922346329657
"1532311200",-0.00120149137089605,0.00722916631093128
"1532314800",-0.00140895131836576,0.0074197765981053
"1532318400",-0.00194513819081012,0.0077821390819732
"1532322000",-0.000977604171632275,0.00734059810797805
"1532325600",-0.000617425721827348,0.00734324025160883
"1532329200",-0.000385696743379791,0.00703336205522127
"1532332800",-0.000779770120078479,0.00715184475205465
"1532336400",-0.00115892807812061,0.00718205826615366
"1532340000",5.57275074367447e-05,0.0074869078458564
"1532343600",-4.61658482996136e-05,0.00700918019031932
"1532347200",-6.69060847576226e-05,0.00690756130367179
"1532350800",0.000123679943169024,0.00688574922340324
"1532354400",-0.000223324212901567,0.00664502695776656
"1532358000",-0.000371574513727792,0.0065063223549365
"1532361600",-9.38452446767533e-05,0.006369458547627
"1532365200",-0.000357801787718507,0.00625369206723692
"1532368800",-0.000396432747823438,0.00607426770501358
"1532372400",-0.000161852597063908,0.00588801326179574
"1532376000",-0.000225255347581311,0.00572704200663135
"1532379600",-0.000278997683215109,0.00556337566607416
"1532383200",0.000122325918182718,0.00573075018713344
"1532386800",-0.00036917118958379,0.00555933814291765
"1532390400",0.000258729737346993,0.00602706539057195
"1532394000",-0.000106146271195642,0.00558364966504182
"1532397600",-0.000131994270696891,0.00550781215316232
"1532401200",-0.000525799013994856,0.0054829540089314
"1532404800",-0.000262577487805014,0.00522322042390881
"1532408400",-0.000426569260126533,0.00523419532627529
"1532412000",-0.00161735500978095,0.00580705544940583
"1532415600",-0.0018467356031282,0.00589095844474951
"1532419200",-0.00119013505703889,0.00584357693418102
"1532422800",-0.000883836921800414,0.00585068967485635
"1532426400",-8.63470586665795e-05,0.00585024883527778
"1532430000",-0.000495989032859067,0.00580884317075306
"1532433600",-0.00129498176194338,0.00612914675027874
"1532437200",-0.0025982916502172,0.00690812636142614
"1532440800",-0.00031049368179567,0.00706338789298139
"1532444400",-0.000658287333516506,0.00703600371335533
"1532448000",0.00070455585748408,0.00811852002061391
"1532451600",-0.000162102064967559,0.00740843677217088
"1532455200",-0.00022069022733616,0.0073267888305726
"1532458800",-0.000618528623527219,0.00724275812058337
"1532462400",-0.000802882795262512,0.0071852646203146
"1532466000",-0.000257557406263009,0.00694131613537797
"1532469600",0.000119852713263895,0.00697122497682691
"1532473200",-0.00027218885794506,0.00673665596175342
"1532476800",-0.00105471904350302,0.00699098423760921
"1532480400",-0.0014229118062339,0.00704996426130248
"1532484000",-0.000701053697431871,0.00673303453410573
"1532487600",-0.000246097829766508,0.00653012776429515
"1532491200",0.000761265795740418,0.00750159985454162
"1532494800",-2.53260457266654e-05,0.00679424302055749
"1532498400",-0.000900268340721213,0.00719084281458823
"1532502000",-0.000568132994803208,0.00669372364895233
"1532505600",0.000778844468019702,0.00798536168970149
"1532509200",0.000422913460829124,0.00709827149136215
"1532512800",0.000573773872934277,0.0079124592123597
"1532516400",0.0010678894371201,0.00835547917915039
"1532520000",0.00046691591998406,0.0079110766983012
"1532523600",9.37088753378623e-05,0.00781107166176718
"1532527200",-0.000347456415995662,0.00759046319656517
"1532530800",-0.000159165687326852,0.00737045422216099
"1532534400",3.22415492789599e-05,0.00725677562970813
"1532538000",0.00104430103795576,0.00846180874990902
"1532541600",-0.000343607301606524,0.00781534128845623
"1532545200",-4.68628182429372e-05,0.00806898976390292
"1532548800",0.000356205779808055,0.00805659781553987
"1532552400",-0.000591196413294693,0.00802217098263071
"1532556000",-0.000909332319872056,0.00792643467722792
"1532559600",-0.00132548622925562,0.00810372350450017
"1532563200",-0.000781316042981673,0.00773603376384214
"1532566800",0.000627812331614625,0.00873208103025747
"1532570400",-0.000182263529541998,0.00803891976235405
"1532574000",0.000171617800488113,0.00846266477850824
"1532577600",0.000180541291124729,0.0080305380941495
"1532581200",-0.000583574997825563,0.00813070537358874
"1532584800",-0.00028690903293642,0.00771989960457118
"1532588400",0.000255707007522619,0.00801079214651534
