"","Mu","Sigma"
"1523574000",-0.000289913743482538,0.0121600192397669
"1523577600",-0.000547670693262108,0.0118996749920107
"1523581200",-0.00128708654358389,0.0122460998184684
"1523584800",0.000274644904966187,0.0123009952802328
"1523588400",0.00085970476869741,0.0127071679594864
"1523592000",-0.000210909714001756,0.0122836980326587
"1523595600",0.000972008711066474,0.0128835485319769
"1523599200",0.000356016561893204,0.0117178146221273
"1523602800",0.000417752526765894,0.0113339471060008
"1523606400",0.000113367996641992,0.0108124815522912
"1523610000",-0.00228956808863928,0.0127876489931346
"1523613600",-0.00140166166121829,0.0116806214807309
"1523617200",-0.000258940148546724,0.0119707413629702
"1523620800",0.000335080959181833,0.0116192676252519
"1523624400",-0.000196078194552483,0.0113733715063118
"1523628000",-0.000360882997248142,0.0110967864894264
"1523631600",0.000546101091515795,0.0113952339819077
"1523635200",0.000336345757879537,0.0105488139561048
"1523638800",0.000135941714366905,0.0102959353175455
"1523642400",4.91252492784796e-05,0.00979507355381852
"1523646000",0.000277152344684093,0.00950317596330961
"1523649600",0.000250671648318858,0.00897371972742562
"1523653200",0.000480210807111727,0.00891317904062934
"1523656800",0.0025161170148975,0.0127825354816982
"1523660400",0.0015914131605192,0.0109751844523906
"1523664000",0.000856531706701257,0.0109837863600306
"1523667600",0.00098173209071969,0.0109176414672499
"1523671200",-0.00015158895438685,0.0107332551879534
"1523674800",-0.00111192284068988,0.0112505921920553
"1523678400",-0.00029392809306054,0.0102649848417241
"1523682000",-0.000390907968351866,0.0101309700191643
"1523685600",0.000621058599774588,0.0104992613206506
"1523689200",0.000699690441435411,0.010207631768733
"1523692800",1.28511878720386e-05,0.0100167348622309
"1523696400",-0.000927847057499288,0.010466258595134
"1523700000",-0.000112979643617094,0.00972084803134653
"1523703600",0.000655980025296588,0.0105614287837348
"1523707200",0.00112151793841134,0.0106890910641929
"1523710800",0.000640982773642868,0.00986185826991324
"1523714400",0.00112203025247402,0.0105925177787588
"1523718000",0.00013270704508612,0.00991075830769137
"1523721600",0.000303879129107609,0.00946848031123444
"1523725200",0.000512654407647568,0.00948388441043923
"1523728800",-0.000159069470072393,0.00925494262778914
"1523732400",0.00044900640091863,0.0092022869802959
"1523736000",-0.000359450973796929,0.00912957423015975
"1523739600",0.00015012588324393,0.00863750050262919
"1523743200",-0.000519179104044257,0.0088274715945258
"1523746800",0.000312036105343362,0.00867974497408933
"1523750400",5.38226211894676e-05,0.00822935530280472
"1523754000",5.26554885083273e-05,0.00797493952078683
"1523757600",0.000255436029071649,0.00768198619372659
"1523761200",-0.000182278953939178,0.00764068989748329
"1523764800",0.000149389650947666,0.00720318118598793
"1523768400",0.000203833597932294,0.00696667960292851
"1523772000",0.000159307844762843,0.0066461522211778
"1523775600",-1.63428524748998e-05,0.00653688563153538
"1523779200",0.00037559323022298,0.0065402244570577
"1523782800",0.000586969739928789,0.006673324918813
"1523786400",-9.38372592504144e-05,0.00662229775256756
"1523790000",0.000147390114169719,0.00621532236307675
"1523793600",-0.00109169459838952,0.00721994589262408
"1523797200",-0.00117170835269719,0.00718280156365599
"1523800800",-0.000606685477839824,0.00686904207327194
"1523804400",-0.000528222575305259,0.00683332565709489
"1523808000",0.000251636533878488,0.00692178770473329
"1523811600",0.000613074940859158,0.00714251225297497
"1523815200",0.000560750057813153,0.00681835397815759
"1523818800",0.000200403993363986,0.00667441700599463
"1523822400",0.000229033884442715,0.00629598282914455
"1523826000",0.00013582177561406,0.00608231126591299
"1523829600",0.000589907791909508,0.00644831726745
"1523833200",0.000147981749569307,0.00605255316270749
"1523836800",-0.000159432157058132,0.00620430713091142
"1523840400",-6.04931445551827e-05,0.00585263501410914
"1523844000",-0.000324454637292448,0.00598118838968845
"1523847600",0.000691914904114881,0.00674136340224443
"1523851200",0.00257587547498291,0.0107203501769155
"1523854800",0.000967121840707005,0.00834826744760658
"1523858400",0.00134250083985126,0.00961576651915716
"1523862000",0.00156049342201928,0.0100167289582917
"1523865600",0.000433532049853851,0.00944923829416982
"1523869200",0.000234193688772587,0.0091797182510343
"1523872800",-0.00013238055996307,0.00893147636912634
"1523876400",0.000556994575916485,0.00921711465862257
"1523880000",0.000447261368026069,0.00869374283219901
"1523883600",0.000517149863771763,0.00851766117789114
"1523887200",0.00159395471093006,0.0103024060246488
"1523890800",0.000734539404143151,0.00884675547829902
"1523894400",0.000465334966068087,0.00886662764959631
"1523898000",0.000508411367337538,0.00853642856353454
"1523901600",0.000373952407805873,0.00815458943472359
"1523905200",-0.000265599998205468,0.00827745772300928
"1523908800",0.000146916051908072,0.00777500499858664
"1523912400",0.000690604319158387,0.00843586185118924
"1523916000",3.71714959092966e-05,0.00791076767531234
"1523919600",3.88423503393637e-05,0.00775244649807898
"1523923200",-0.000349144458204126,0.00771661720315142
"1523926800",0.00011358260757713,0.00737872557085825
"1523930400",0.000144832376102897,0.00703284689488847
"1523934000",0.000497861780790288,0.00716924345713015
"1523937600",0.000386341307367984,0.00672030821469831
"1523941200",0.000282226171679622,0.00647694435588295
"1523944800",0.000483523828690818,0.00651245774953274
"1523948400",0.00060304551457239,0.00654686674173681
"1523952000",-0.000218945585404162,0.0066749361954632
"1523955600",-0.000902663255884741,0.00716881130526084
"1523959200",-0.000297038461243825,0.00653317459247739
