"","Mu","Sigma"
"1540616400",-0.00010591630610201,0.00292562251314033
"1540620000",2.78320512833507e-06,0.00295458852730461
"1540623600",-5.58227258244825e-06,0.00285655225738895
"1540627200",-4.8683652399533e-05,0.00278584800916821
"1540630800",-8.44848864341726e-05,0.00270113328607986
"1540634400",8.30230740629811e-05,0.00288370609293914
"1540638000",-0.000167701480685892,0.00277922478534539
"1540641600",0.000126756831664776,0.00310183655415414
"1540645200",-8.06141216392015e-05,0.00279787729718571
"1540648800",-2.8386381758382e-05,0.00285617476661814
"1540652400",9.58917247430155e-05,0.00307678475949566
"1540656000",0.000216594349509274,0.00305787612447412
"1540659600",0.000423592818936351,0.00364243649001858
"1540663200",4.87442856476499e-05,0.00312133254145847
"1540666800",-4.37670434091731e-05,0.00326756534037876
"1540670400",2.12582267899964e-06,0.00324355465479592
"1540674000",-1.2942301415099e-05,0.00312206497002867
"1540677600",-9.91632384122532e-05,0.00306533564751639
"1540681200",-0.000269203917473206,0.00310533880128991
"1540684800",-0.000172016086919522,0.00297530393055999
"1540688400",-0.000105298027064037,0.00290895427013018
"1540692000",-1.41951233918278e-05,0.00285171661520855
"1540695600",-2.65687931516371e-05,0.00280356238638139
"1540699200",-0.000165330893781225,0.00280710338409724
"1540702800",-0.000131116901832681,0.00269106168829419
"1540706400",-0.000111716838597371,0.00265067136247501
"1540710000",-0.000175496311797963,0.00266534224454077
"1540713600",-1.77272768510332e-05,0.00269735384290764
"1540717200",1.72184570479254e-06,0.00262168754279328
"1540720800",0.000164003110942888,0.00285380585723633
"1540724400",-5.48508291296284e-05,0.00261139766307349
"1540728000",4.52935470703862e-05,0.00279487946791464
"1540731600",-0.000113818278747576,0.00259225003818044
"1540735200",-0.000164500459235694,0.00270399829496657
"1540738800",-0.00031343032527744,0.0026673618756643
"1540742400",-0.000265466503309546,0.00269669932689889
"1540746000",0.000541255560756771,0.00385213924898165
"1540749600",-0.000160296299765808,0.00319444940817117
"1540753200",3.41257661748976e-05,0.00361478695059168
"1540756800",-0.000143497726154705,0.00326362791544594
"1540760400",0.000378442268176442,0.00382182879942047
"1540764000",-0.000264640085594221,0.00348817149592536
"1540767600",2.60716165815448e-05,0.00369164853514973
"1540771200",-0.000125881031057456,0.00338350744673947
"1540774800",-0.000356310074588886,0.00376758921766391
"1540778400",-0.000278919497142846,0.00335770143540923
"1540782000",-4.74091072136198e-05,0.00351009749005851
"1540785600",-0.000110599787917473,0.00334400830095267
"1540789200",-0.000229480131970662,0.00337353013028763
"1540792800",-0.000104315243013529,0.0032211394317729
"1540796400",2.04703848054887e-05,0.00326730712637065
"1540800000",-6.64219033218241e-05,0.00311480239141904
"1540803600",-0.000180553541480989,0.00314166964947854
"1540807200",-0.000139932708031391,0.00298976159225759
"1540810800",0.000133585509151788,0.00329206955359395
"1540814400",-7.83138923654214e-05,0.00303337900068236
"1540818000",0.00129579504375116,0.00639258945115458
"1540821600",0.00167484617547183,0.00532063213250394
"1540825200",0.000587618922608734,0.0056317011466757
"1540828800",2.19285593430615e-05,0.00539786460490264
"1540832400",-0.00037968440899248,0.00543294952181404
"1540836000",5.04395583902818e-05,0.00527855304755088
"1540839600",6.0238761898178e-05,0.00531553667948924
"1540843200",7.84331486082973e-05,0.00497574500757685
"1540846800",0.000234644496998642,0.00544477142001849
"1540850400",0.000258609907500624,0.00515950972259985
"1540854000",0.00025712430004133,0.00534908621124175
"1540857600",-0.000399723160069406,0.00525564153682297
"1540861200",-0.000259564789579061,0.00505657496263504
"1540864800",-0.000320572633397074,0.00500294572210594
"1540868400",-1.86538029016281e-05,0.00477748897811383
"1540872000",-0.000263203247801194,0.00477976166244194
"1540875600",-0.000201074934841598,0.0046057933566797
