"","Mu","Sigma"
"1517893200",0.00721374578357806,0.0346632095495547
"1517896800",0.00707319749727912,0.0359728733732413
"1517900400",-0.00079689470892233,0.0355643383646274
"1517904000",0.0027460624021738,0.0359340621189071
"1517907600",-0.000282364345907364,0.0329095299174613
"1517911200",0.00165010509924087,0.0323611119874402
"1517914800",-0.00672022156343781,0.0367670036767766
"1517918400",-3.88229270406049e-05,0.0343156748306336
"1517922000",-0.00162378184696543,0.0325332693201249
"1517925600",-0.0042486785830465,0.0340289049687795
"1517929200",-0.00733798830503881,0.03561999314511
"1517932800",-0.00217547899705049,0.032503451291979
"1517936400",-0.00614797027269685,0.0352988726674227
"1517940000",0.00332540586142383,0.0385114546700473
"1517943600",7.38910394984258e-05,0.0341066351908015
"1517947200",-0.000496042027223534,0.0335188102579494
"1517950800",-0.00345942584985617,0.0334187526632531
"1517954400",-0.00400996652773916,0.0326043104777265
"1517958000",-0.00222236528452926,0.0300927855262215
"1517961600",-0.000122791624974605,0.0289385720111898
"1517965200",-0.00224508487513124,0.0287821398840408
"1517968800",0.0021176786735938,0.0299072871508636
"1517972400",-0.000989252619368526,0.0280639849527528
"1517976000",0.00519799355739407,0.0342534789597694
"1517979600",0.00339197823945156,0.0303547557106938
"1517983200",-0.000782381806066866,0.0314515778991343
"1517986800",0.00179012645605357,0.0305223510892714
"1517990400",-0.00106838097492155,0.0292088475957292
"1517994000",-0.00288125369977787,0.0295600608151339
"1517997600",-0.00168366415089694,0.0269986636633416
"1518001200",-0.00347201116693186,0.0279028444474764
"1518004800",-0.00627591357521705,0.0298694422783059
"1518008400",-0.00165926828400131,0.0271784397777004
"1518012000",-0.00453041131806993,0.0290290535084428
"1518015600",-0.000562587025078394,0.0263604014385021
"1518019200",0.000225066126700345,0.0255118348046178
"1518022800",0.00191511612536564,0.0253944034142573
"1518026400",0.00296339571232208,0.0258329341473556
"1518030000",-0.00215611735735697,0.0266242150026093
"1518033600",0.00180252426407406,0.0270098538979228
"1518037200",0.00130571348845722,0.0254397122635831
"1518040800",0.000668552774011318,0.0238139667357052
"1518044400",0.00216229704832912,0.0245355260920275
"1518048000",0.00499286948439224,0.0283037514020487
"1518051600",0.00387140689533421,0.0262785753672853
"1518055200",0.00307299147631055,0.0258359365797522
"1518058800",-0.00271496579013815,0.0275119849410152
"1518062400",-0.00225066881301065,0.0254778456981536
"1518066000",-0.000681837740668466,0.0243509242464291
"1518069600",-0.00232467803426826,0.0244821139970246
"1518073200",0.00232447400530428,0.0264568902016346
"1518076800",-0.00074913972821163,0.0245683758424347
"1518080400",-0.00223292794603118,0.025307998478684
"1518084000",-0.000556061398372552,0.0229586185580382
"1518087600",-0.00148380963727235,0.0227207635716158
"1518091200",-0.00246900221875435,0.0227259183053555
"1518094800",-0.000421276458547358,0.0210842933032968
"1518098400",-0.00118493574922753,0.020617097573665
"1518102000",0.0017898552682672,0.0217186482243748
"1518105600",0.000445073752488791,0.0195349506861155
"1518109200",0.00278790296108015,0.0219005983639224
"1518112800",0.00130156063218061,0.0190414367929085
"1518116400",0.00173624920386529,0.0194175535819493
"1518120000",0.000930917896379472,0.0175685557328938
"1518123600",-0.00111571836045756,0.0182980751821227
"1518127200",0.000414305694846412,0.0172109678630456
"1518130800",0.00209992218927397,0.0190588438040215
