"","Mu","Sigma"
"1543456800",-0.000591076709525263,0.0152236926958341
"1543460400",0.00197443445162369,0.0178614489629367
"1543464000",0.000492671280415169,0.0149759101892702
"1543467600",0.00156814783207893,0.0177899773213946
"1543471200",-0.00112533094341338,0.0154436226720502
"1543474800",-0.0022861998139958,0.0174213384113801
"1543478400",-0.00108167530256302,0.014931322006512
"1543482000",0.000553531138949284,0.0157441346743507
"1543485600",-0.00132589259663431,0.0152178388521286
"1543489200",-0.00352898459727469,0.0167667443685485
"1543492800",-0.000934461964576055,0.0148342682233253
"1543496400",-0.00161949751748116,0.0161898162854946
"1543500000",0.00252049986288701,0.0184820894571055
"1543503600",0.000533897703489326,0.0156090901618045
"1543507200",0.000604996901184693,0.0161604964799205
"1543510800",9.26421113387017e-05,0.0154299970274233
"1543514400",-0.00190869326799332,0.0165999102478347
"1543518000",-8.2057674641505e-05,0.0158042556034425
"1543521600",0.00176273056707074,0.0176520755509614
"1543525200",0.00189595661077763,0.0164260545544353
"1543528800",0.000373595476384265,0.0160857429501463
"1543532400",0.000264274340832449,0.0153633691354848
"1543536000",-0.0018745481355613,0.0160654124917117
"1543539600",-0.00101536371563358,0.0145760367129689
"1543543200",0.000625741074877868,0.015803196268816
"1543546800",0.000537734281665917,0.0137645424085169
"1543550400",-0.00125493876765209,0.0148218376457656
"1543554000",-0.000576051327290504,0.012986981707842
"1543557600",-0.000797875252495779,0.0135522477004298
"1543561200",0.000114524476533106,0.012476365906224
"1543564800",0.00197866794674467,0.0156616162797751
"1543568400",0.00237720097598445,0.0145789142458524
"1543572000",0.000207691266949363,0.0142468958280386
"1543575600",-0.00015372338873633,0.0134907241591952
"1543579200",0.00447271772003754,0.0219310457569194
"1543582800",0.00336881285140129,0.0166925497259834
"1543586400",0.00130043695451433,0.018948048240695
"1543590000",-0.000314000397772095,0.0161166253580679
"1543593600",-0.000267660277983074,0.0165803257188665
"1543597200",-0.000155168092099952,0.0150219168452063
"1543600800",-0.00177383276140407,0.0161987709698031
"1543604400",-1.42566841113394e-05,0.0150465678708437
"1543608000",0.000514782880330899,0.0152127433050354
"1543611600",0.00105276315994628,0.0147760820093742
"1543615200",-0.000630156542783965,0.0142946542114794
"1543618800",0.00180006392289552,0.0166916244665882
"1543622400",-0.000270116814812037,0.0144209784613362
"1543626000",-0.00112095919583059,0.0154573338748175
"1543629600",-0.00102801715029206,0.0136873332352411
"1543633200",0.000437158740115571,0.0141310774191928
"1543636800",0.000796879861476833,0.0137441874004153
"1543640400",-0.000157131076663273,0.0131435295060073
"1543644000",0.000213441341411078,0.0130687018818724
"1543647600",0.000600149897744948,0.0129526085599471
"1543651200",0.000611575492995827,0.0124683141710772
"1543654800",-0.00106381781179637,0.0126307370826246
"1543658400",-0.000712696299478856,0.0117119816256448
"1543662000",-0.00108256170354656,0.0119873454356067
"1543665600",-0.0043525273296052,0.0146784412698023
"1543669200",-0.00319600823050463,0.0130268071380618
"1543672800",-0.000443184675477034,0.0134289951211569
"1543676400",0.000812211857816641,0.01257879617209
"1543680000",-0.00084226604133073,0.0128145303105411
"1543683600",-0.00247807673309951,0.0133745228874968
"1543687200",-0.00167419879797389,0.0125727035287781
"1543690800",8.11751566939299e-05,0.0126366094887655
"1543694400",0.000488965829491871,0.0119126530546445
"1543698000",-0.000396952194282982,0.011739831538556
"1543701600",0.00173630129303264,0.0142591822550629
"1543705200",0.000496851921458138,0.0116524428633383
"1543708800",0.00051318840069182,0.0128006456348271
"1543712400",0.000143810515356196,0.0116447009998665
"1543716000",-0.000585738464179213,0.0120919338621499
"1543719600",-0.00182382361002565,0.0119769015771737
"1543723200",-4.39143679188073e-06,0.0119654500138612
"1543726800",0.00106153523699478,0.012399882736451
"1543730400",0.00279896006619739,0.0149971980650619
"1543734000",0.000851947690908289,0.0124523387391014
"1543737600",-0.000417103766310705,0.0133157706745496
"1543741200",-0.000950999799568459,0.0120341304922768
"1543744800",-0.00152535419960249,0.0130287294322475
"1543748400",-0.000100399136899391,0.0120235732532891
"1543752000",0.0018840880116254,0.01476499095237
"1543755600",0.000157113837217368,0.0123511392102468
"1543759200",-0.000672827643057695,0.0130253646688506
"1543762800",5.5048921002632e-05,0.012297539282182
"1543766400",-0.000604971580573498,0.0124458282762642
"1543770000",0.000431111254423236,0.0125089617377023
"1543773600",-3.09271114266978e-05,0.0115385804796609
"1543777200",0.0001081186899225,0.0111694104967869
"1543780800",-0.000250926033693688,0.0104904898715389
"1543784400",-0.000699295369324351,0.0106637341763969
"1543788000",-0.00186405397597372,0.0109790273577253
"1543791600",-0.00050990453960346,0.0100667201357484
"1543795200",0.000715088735291812,0.0110330188336339
"1543798800",0.00152219817455396,0.0112653364853713
"1543802400",0.000701009388728377,0.0108337928715287
"1543806000",0.000611649273409306,0.0110191471280005
"1543809600",0.00404774112979371,0.0178298887486277
"1543813200",0.00114086204787884,0.0122272865848048
"1543816800",0.000147323274281485,0.0143361415725769
"1543820400",-0.000258471208830966,0.0123628246712426
"1543824000",0.000613400550734294,0.0128952924083247
"1543827600",-0.000516232260181572,0.0118861029511021
"1543831200",-0.000707563566338116,0.0119448400581914
"1543834800",-1.57916778588923e-05,0.011429650110701
"1543838400",-5.99647490264129e-05,0.0109433765603228
"1543842000",0.000377128447700586,0.0110294838119307
"1543845600",-0.000672846044024471,0.0106625992773634
"1543849200",7.25163404147529e-05,0.0104735889373799
"1543852800",0.00331695273285988,0.0162664975233226
"1543856400",0.00281752909517592,0.0131276596375932
"1543860000",0.00121025268255492,0.0147819226786777
"1543863600",-0.00063170906721501,0.0129130092979935
"1543867200",-0.000198258022024548,0.0129031493739838
"1543870800",0.000995837864611225,0.0136376027557374
"1543874400",-0.000186545165197016,0.0125834588580387
"1543878000",-0.00122143745259576,0.0129909185211354
"1543881600",-0.000317741189623344,0.0120870253102144
"1543885200",0.000898725958775257,0.012869128824215
"1543888800",-0.000501220665044909,0.0120011419467385
"1543892400",-0.000555013524558678,0.0116816992759441
"1543896000",0.000264415582833548,0.0117555182457661
"1543899600",0.00191732264212064,0.0134172522575897
"1543903200",0.000491460402747956,0.0113552967979941
"1543906800",-0.000497173940607534,0.0120215872795858
"1543910400",-0.00440426425594913,0.0141875770610322
"1543914000",-0.00268011155460053,0.0127128756648297
"1543917600",-0.000807726261714071,0.0125176876015528
"1543921200",-0.00012206821071284,0.0120314627402248
"1543924800",0.00048160429276054,0.0125724647125536
"1543928400",0.000311482184894761,0.0113923388995611
"1543932000",0.000475838410650503,0.0117722357953429
"1543935600",-0.000359625075459379,0.0108523681096262
"1543939200",-0.00250724793718649,0.012730495375893
"1543942800",0.000423794688830906,0.0126147221861398
"1543946400",0.00164067796606479,0.0137046941485747
"1543950000",0.00171498607901938,0.0132553705144903
"1543953600",-9.72555649873098e-05,0.012505248014473
"1543957200",-4.43487414738039e-05,0.0119622185494033
"1543960800",0.000706565801707022,0.0126947869752772
"1543964400",0.000428063792291174,0.0113710677470171
"1543968000",-0.000145026694624938,0.0113159886174574
"1543971600",-0.000893566128616272,0.0109999265735157
"1543975200",-0.000239105630043394,0.0103660999318818
"1543978800",0.00115961188664312,0.0119672158492264
"1543982400",0.000915793588852415,0.0106644702402732
"1543986000",0.000818138015486738,0.0116685526209156
"1543989600",0.000569071892825657,0.010880662981955
"1543993200",-0.000535517854172069,0.0110632110704057
"1543996800",-0.000512879984780479,0.0101885269329998
"1544000400",0.00150406808804377,0.0128326610377964
"1544004000",-0.000171090053851924,0.0107761801009511
"1544007600",-0.00111707575912133,0.0118617157182652
"1544011200",-0.00084744486642663,0.0104098223812006
"1544014800",-0.00035250104320594,0.0107254674783417
"1544018400",-9.8162122545055e-05,0.00979826829969912
"1544022000",0.000995260184566638,0.0112922698023429
"1544025600",0.000478486513851965,0.00969470124791744
"1544029200",0.000497371304628042,0.0105902006032255
"1544032800",0.00274231565520726,0.0139263668925186
"1544036400",0.00131703562768979,0.0111946724790955
"1544040000",-0.000186641011674192,0.0121310112992163
"1544043600",-0.000163087399527217,0.01111442080262
"1544047200",-0.00066761306531836,0.0115026112762885
"1544050800",0.00038570042443254,0.0113820316204782
"1544054400",-3.79802966801144e-05,0.0106234893055204
"1544058000",1.07308998159478e-05,0.0102643084648029
"1544061600",-0.000392594764135095,0.0097712124335571
"1544065200",0.000232602181236971,0.00968978498661306
"1544068800",0.000615858791135842,0.00994380011802368
"1544072400",0.000228787006192301,0.00903694088140581
"1544076000",0.00186149862938444,0.012384278074151
"1544079600",-0.00441293719306296,0.0132456666768659
"1544083200",-0.00178625240168376,0.0117832787147798
"1544086800",-0.00109797311461518,0.0119271923777242
"1544090400",0.000616086724695916,0.0109115926357443
"1544094000",-0.000667942207822477,0.0107946019330581
"1544097600",0.0016911175450432,0.0126793055146837
"1544101200",0.000449200389833354,0.0106369932463453
"1544104800",0.00203226614969563,0.0143480003486179
"1544108400",0.00239503796268291,0.0137424929428283
"1544112000",0.000194376103352799,0.0135593019965227
"1544115600",0.00178578304467574,0.016318914779043
"1544119200",0.00161349131693338,0.0147821997129473
"1544122800",0.000509430032218779,0.0145241877467003
"1544126400",0.000307366769998646,0.0145620982180412
"1544130000",-0.00122944077035807,0.0145049755925704
"1544133600",-0.000665875298586109,0.0134631518211403
"1544137200",0.000523163921401035,0.0142805443352345
"1544140800",0.0007912452519916,0.0130882404564566
"1544144400",0.00637979877659773,0.0271594466368987
"1544148000",0.00473788228039447,0.0182752722820121
"1544151600",0.00228722781134665,0.023228447720653
"1544155200",0.000854181138533937,0.0198755970444246
"1544158800",0.00131239860449071,0.0213485102387572
"1544162400",-0.000322381102858609,0.0190016282970916
"1544166000",-0.00148610945631295,0.0197202040406065
"1544169600",-5.94882730233538e-05,0.018380385119219
"1544173200",0.000522476599624875,0.0180974937855275
"1544176800",0.00155151161650365,0.0187236411839043
"1544180400",-0.000285967117630641,0.0171924841040253
"1544184000",-0.000745497891782234,0.0170680022105129
"1544187600",-0.000339876447696736,0.0159149965289831
"1544191200",-1.03208457308496e-05,0.0153260474208797
"1544194800",-0.00101716555290373,0.0151420968564967
"1544198400",-0.000486441542546136,0.0140288454063297
"1544202000",0.00223585969517964,0.0175912535690681
"1544205600",0.004336401563719,0.0190147984634032
"1544209200",0.00118777493525992,0.0166020032712197
"1544212800",0.000687186193913903,0.0179062849294372
"1544216400",-0.00740216290461487,0.0222143668286063
"1544220000",0.000615269323168853,0.0218333827018252
"1544223600",-0.00151466059520421,0.0215706113090594
"1544227200",0.000320060786127109,0.0201017589967209
"1544230800",-0.0010628699666433,0.019467525614953
"1544234400",-0.00208642583029415,0.0204782414337011
"1544238000",-0.000866992212305454,0.0186816155728839
"1544241600",0.00083904067727463,0.0193701646086065
