"","Mu","Sigma"
"1537776000",0.000275145813316421,0.00627984224151093
"1537779600",-0.000355661810851454,0.0063756842052524
"1537783200",0.000714211570203163,0.00763266555839458
"1537786800",0.000489507555730524,0.00670844534669785
"1537790400",0.000216315199427375,0.00693592753496627
"1537794000",2.47846164184716e-05,0.00678912446826242
"1537797600",-0.000410288145205937,0.00693038804766992
"1537801200",-0.000278193205424854,0.00652446339809049
"1537804800",-3.43026693557608e-05,0.00661451565779181
"1537808400",0.00011834650219983,0.00626723674691794
"1537812000",7.43603101910271e-05,0.00632199199675661
"1537815600",-0.000830749382965913,0.00665703084581699
"1537819200",-0.000248093461710922,0.00628953136142199
"1537822800",0.000348987283146305,0.00691540782001684
"1537826400",0.00015358467958469,0.00627672784526654
"1537830000",0.00019426751624687,0.0068276296970904
"1537833600",0.000797767246223868,0.00731275070812307
"1537837200",0.00060973084349203,0.00699361324258697
"1537840800",0.00164528612476106,0.00955466244496429
"1537844400",0.00162661261500132,0.00880182618254621
"1537848000",0.000555306065979127,0.00876488165923055
"1537851600",-0.000720689606596029,0.00873095425224444
"1537855200",-0.000252786460974427,0.0084183989749917
"1537858800",-0.000253546744078936,0.00830978721439714
"1537862400",0.000666614154951176,0.00899690358190611
"1537866000",0.000981714165135939,0.00924149684495251
"1537869600",-0.000165680105566023,0.00901681560361041
"1537873200",-0.000381664473073117,0.0086730150625368
"1537876800",-3.29592020261806e-05,0.00866306602134337
"1537880400",0.00030048719941063,0.00839382007162799
"1537884000",-0.000448863946592877,0.00846205235364798
"1537887600",0.000227411491265115,0.00863508895308709
"1537891200",-0.000367876923502744,0.00838098844463089
"1537894800",0.000180540601694417,0.00845112634850167
"1537898400",0.000217779093123617,0.00837819118931073
"1537902000",0.000397946400748238,0.00820931064328125
"1537905600",0.000527719408687133,0.00867535156356401
"1537909200",-2.82416993671345e-05,0.00805566938648717
"1537912800",-0.000289240367483341,0.00813557059759907
"1537916400",-0.000351369646172237,0.00773189302397816
"1537920000",-0.000407828308905506,0.00783263918247586
"1537923600",-0.000548002215145383,0.0076264519389325
"1537927200",2.2858809389211e-05,0.00768962684310126
