"","Mu","Sigma"
"1529254800",3.00325002707498e-05,0.00530026959279195
"1529258400",8.22639707470995e-05,0.00511546470542692
"1529262000",0.000110136348858417,0.00513867744328943
"1529265600",-0.000240631582757255,0.00497658788877272
"1529269200",-0.000255339614121073,0.0048242403199608
"1529272800",0.000231495963504255,0.00518273683739629
"1529276400",-2.08943517591582e-05,0.00478575382380978
"1529280000",7.22751768645946e-05,0.00502064274161779
"1529283600",0.000358752655898369,0.00512680817432233
"1529287200",0.00104735635503831,0.00619409544140819
"1529290800",0.000131057217640328,0.00545584497986438
"1529294400",-0.000309336300641223,0.00560742812069746
"1529298000",1.54463055779167e-05,0.00550965272853908
"1529301600",8.58544788950941e-05,0.00540689761826515
"1529305200",-0.000299563703862657,0.0053151378818668
"1529308800",-0.000516032654296438,0.00523532125764871
"1529312400",-0.000163757202196544,0.00515781142088152
"1529316000",-0.000674209490301306,0.00524983026282401
"1529319600",-0.000248385511610397,0.0051587779792661
"1529323200",0.000371016142030979,0.00555377614200476
"1529326800",9.54105183868154e-05,0.00508280370424239
"1529330400",-0.000187307705779359,0.00510520116948346
"1529334000",-0.000133816208768244,0.00486140897150561
"1529337600",-0.000658220496243918,0.00503309243707482
"1529341200",-0.000413395378109228,0.00469356831934911
"1529344800",-0.00266961340776699,0.00616988882117033
"1529348400",-0.00273217049142191,0.00567529106457163
"1529352000",-0.00101692651865959,0.00562627768784379
"1529355600",-0.0002423311547109,0.00539592282787359
"1529359200",-0.000335808001778248,0.00534078029395522
"1529362800",-0.000189168168526214,0.00514028823413701
"1529366400",-3.22326188874479e-05,0.00508011391330545
"1529370000",-0.000205435723768934,0.00491940037745627
"1529373600",-0.000122707060916191,0.0048155210903319
"1529377200",1.98263200149105e-05,0.00476964257103287
"1529380800",0.000274372815410006,0.00498737894641073
"1529384400",6.99041398555108e-05,0.00462061508452636
"1529388000",-0.000412218722151791,0.00474456209970901
"1529391600",-0.000184464144103283,0.00456063610005513
"1529395200",0.000133686643401881,0.00472031050653256
"1529398800",-7.05826631417512e-05,0.0044376063384254
"1529402400",-0.000422777160026814,0.0045055940756536
"1529406000",-0.000242705498733456,0.00426966790266726
"1529409600",-8.26553593474246e-05,0.00422129609743305
"1529413200",-0.000448430280095398,0.00421745839810098
"1529416800",-0.000774495341478014,0.00425689292226488
"1529420400",-0.00028034218306262,0.00416689553756241
"1529424000",1.77502935073459e-05,0.00415304698947236
"1529427600",0.000301350987465317,0.00442889956642336
"1529431200",0.000196167652373608,0.00420417963840215
"1529434800",-0.000104541179250292,0.00414491549609856
"1529438400",-0.000207116773983747,0.00399680189108743
"1529442000",-0.000537762563807754,0.00407387070506299
"1529445600",0.000345229461788632,0.00478551361186098
"1529449200",-0.000150567716107794,0.00434169558894616
"1529452800",-0.000271537983842713,0.00434892769577758
"1529456400",-0.000416990959681134,0.00426376491631908
"1529460000",0.00111638206987283,0.00635563251068681
"1529463600",0.00104082036640463,0.00538224892446292
"1529467200",0.000363096046047997,0.00574340262409339
"1529470800",7.22257901457909e-05,0.0053359021533703
"1529474400",-1.28067855192286e-07,0.00533565857718955
"1529478000",0.000103231417769372,0.0052904958587907
"1529481600",-0.000549924504438705,0.00532667755646501
"1529485200",-0.000493275804894733,0.00509399140976046
"1529488800",-0.000239004233179795,0.00495913925138024
"1529492400",-0.000150484740439842,0.00477558403394747
"1529496000",-5.17204897262151e-05,0.00471367330379386
"1529499600",-0.000108111055459253,0.00451868605549391
"1529503200",-7.03840226447795e-05,0.00445088515783294
"1529506800",-0.0016091640594855,0.0051247823159545
"1529510400",-0.00133951882968954,0.00472300013451704
"1529514000",-0.000654417655509748,0.00477676563965275
